title,title_link,author,publisher,publication_date,#pages,isbn-10,isbn-13,reading_age
Privilège Noir: L’Opportunité Est Pour Celui Qui La Crée | D’Après Le Best-Seller De Charlamagne Tha God (French Edition),https://www.amazon.com/Privil%C3%A8ge-noir-Lopportunit%C3%A9-best-seller-Charlamagne/dp/B0BW35YF6H/ref=sr_1_9?keywords=Black+Privilege+by+Charlamagne+Tha+God&qid=1697039008&sr=8-9,"Charlamagne Tha God, Les Éditions La Comédie Française, Infinitus Graphics, Mélissa Binet, Julien Courgeau, Vikki Hastings",Independently published,"March 2, 2023",380.0,,979-8385620616,
Chronicles Of The Crusades (Penguin Classics),https://www.amazon.com/Chronicles-Crusades-Jean-Joinville/dp/B000HU0N0A/ref=sr_1_1?keywords=Chronicles+of+the+Crusades+by+Jean+de+Joinville&qid=1697039096&sr=8-1,"Jean De Joinville, Geoffroy De Villehardouin",Penguin Classics; 1st edition,"Illustrated, March 31, 2009",384.0,9780140449983,978-0140449983,
Memory Wall: Stories,https://www.amazon.com/Memory-Wall-Stories-Anthony-Doerr/dp/1439182841/ref=sr_1_1?keywords=Memory+Wall+by+Anthony+Doerr&qid=1697039195&sr=8-1,Anthony Doerr,Scribner,"July 5, 2011",304.0,1439182841,978-1439182840,
Among The Free (Shadow Children),https://www.amazon.com/Shadow-Children-Margaret-Peterson-Haddix/dp/0689857993/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1681688345&sr=1-1,Margaret Peterson Haddix,Simon & Schuster Books for Young Readers; Reprint edition,"July 24, 2007",224.0,0689857993,978-0689857997,8
She'S Not There: A Life In Two Genders,https://www.amazon.com/Shes-Not-There-Life-Genders/dp/B01BODSKIA/ref=sr_1_8?keywords=She%27s+Not+There+by+Jennifer+Finney+Boylan&qid=1697039346&sr=8-8,Jennifer Finney Boylan,Broadway Books; First Paperback Edition,"January 1, 2004",0.0,,,
Just For Me: My Ramona Quimby Journal,https://www.amazon.com/Just-Me-Ramona-Quimby-Journal/dp/0062230492/ref=sr_1_14?crid=2K970TCQOIRFZ&keywords=Ramona+Beverly+Cleary&qid=1666848079&qu=eyJxc2MiOiIzLjMyIiwicXNhIjoiMi40OSIsInFzcCI6IjIuMjIifQ%3D%3D&sprefix=ramona+beverly+cleary%2Caps%2C393&sr=8-14,"Beverly Cleary, Jacqueline Rogers",HarperCollins; Illustrated edition,"Illustrated, March 19, 2013",144.0,0062230492,978-0062230492,8
The Lost Honor Of Katharina Blum (Penguin Classics),https://www.amazon.com/Lost-Honor-Katharina-Penguin-Classics/dp/014310540X/ref=sr_1_1?keywords=The+Lost+Honor+of+Katharina+Blum+by+Heinrich+B%C3%B6ll&qid=1697039490&sr=8-1,"Heinrich Böll, Leila Vennewitz",Penguin Books; 1st edition,"September 29, 2009",128.0,014310540X,978-0143105404,
The Whiskey Rebels: A Novel (Random House Reader'S Circle),https://www.amazon.com/Whiskey-Rebels-Random-Readers-Circle/dp/0812974530/ref=sr_1_1?keywords=The+Whiskey+Rebels+by+David+Liss&qid=1697039594&sr=8-1,David Liss,Ballantine Books; Reprint edition,"June 16, 2009",560.0,0812974530,978-0812974539,
The Jesuit Guide To (Almost) Everything: A Spirituality For Real Life,https://www.amazon.com/Jesuit-Guide-Almost-Everything-Spirituality/dp/0061432695/ref=sr_1_1?keywords=The+Jesuit+Guide+to+Almost+Everything+by+SJ+James+Martin&qid=1697039633&sr=8-1,James Martin,HarperOne; 32097th edition,"March 6, 2012",436.0,0061432695,978-0061432699,
Shipwreck At The Bottom Of The World: The Extraordinary True Story Of Shackleton And The Endurance,https://www.amazon.com/Shipwreck-Bottom-World-Extraordinary-Shackleton/dp/0375810498/ref=sr_1_1?keywords=Shipwreck+at+the+Bottom+of+the+World+by+Jennifer+Armstrong&qid=1697039664&sr=8-1,Jennifer Armstrong,Knopf Books for Young Readers; Illustrated edition,"Illustrated, September 12, 2000",144.0,0375810498,978-0375810497,9
